[Running] Digitalu.FinalProject.v
VCD info: dumpfile dump.vcd opened for output.
+=+
|C|========+================================+=========================================+=============+=========================================+=====+
|L|Input                                    |ACC                                      |Instruction  |Next                                     |     |
|K|#Hex    |BIN                             |#HEX    |BIN                             | CMD  |Opcode|#HEX    |BIN                             |Error|
|=|========+================================|========+================================|======+======|========+================================|=====|
|0|00000000|00000000000000000000000000000000|xxxxxxxx|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx| No-op| 0000 |xxxxxxxx|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|0    |
|1|00000000|00000000000000000000000000000000|xxxxxxxx|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx| No-op| 0000 |xxxxxxxx|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|0    |
|0|00000000|00000000000000000000000000000000|xxxxxxxx|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx| RESET| 1111 |00000000|00000000000000000000000000000000|0    |
|1|00000000|00000000000000000000000000000000|00000000|00000000000000000000000000000000| RESET| 1111 |00000000|00000000000000000000000000000000|0    |
|0|00000005|00000000000000000000000000000101|00000000|00000000000000000000000000000000|   ADD| 0001 |00000005|00000000000000000000000000000101|0    |
|1|00000005|00000000000000000000000000000101|00000005|00000000000000000000000000000101|   ADD| 0001 |00000005|00000000000000000000000000000101|0    |
|0|00000001|00000000000000000000000000000001|00000005|00000000000000000000000000000101|   SUB| 0010 |00000004|00000000000000000000000000000100|0    |
|1|00000001|00000000000000000000000000000001|00000004|00000000000000000000000000000100|   SUB| 0010 |00000004|00000000000000000000000000000100|0    |
|0|00000003|00000000000000000000000000000011|00000004|00000000000000000000000000000100|   MUL| 0011 |0000000c|00000000000000000000000000001100|0    |
|1|00000003|00000000000000000000000000000011|0000000c|00000000000000000000000000001100|   MUL| 0011 |0000000c|00000000000000000000000000001100|0    |
|0|00000003|00000000000000000000000000000011|0000000c|00000000000000000000000000001100|   DIV| 0100 |00000004|00000000000000000000000000000100|0    |
|1|00000003|00000000000000000000000000000011|00000004|00000000000000000000000000000100|   DIV| 0100 |00000004|00000000000000000000000000000100|0    |
|0|00000003|00000000000000000000000000000011|00000004|00000000000000000000000000000100|   REM| 0101 |00000001|00000000000000000000000000000001|0    |
|1|00000003|00000000000000000000000000000011|00000001|00000000000000000000000000000001|   REM| 0101 |00000001|00000000000000000000000000000001|0    |
|0|000000ff|00000000000000000000000011111111|00000001|00000000000000000000000000000001|   AND| 0110 |00000001|00000000000000000000000000000001|0    |
|1|000000ff|00000000000000000000000011111111|00000001|00000000000000000000000000000001|   AND| 0110 |00000001|00000000000000000000000000000001|0    |
|0|003fffff|00000000001111111111111111111111|00000001|00000000000000000000000000000001|    OR| 0111 |003fffff|00000000001111111111111111111111|0    |
|1|003fffff|00000000001111111111111111111111|003fffff|00000000001111111111111111111111|    OR| 0111 |003fffff|00000000001111111111111111111111|0    |
|0|00055555|00000000000001010101010101010101|003fffff|00000000001111111111111111111111|   XOR| 1000 |003aaaaa|00000000001110101010101010101010|0    |
|1|00055555|00000000000001010101010101010101|003aaaaa|00000000001110101010101010101010|   XOR| 1000 |003aaaaa|00000000001110101010101010101010|0    |
|0|00000000|00000000000000000000000000000000|003aaaaa|00000000001110101010101010101010|   NOT| 1001 |ffc55555|11111111110001010101010101010101|0    |
|1|00000000|00000000000000000000000000000000|ffc55555|11111111110001010101010101010101|   NOT| 1001 |ffc55555|11111111110001010101010101010101|0    |
|0|00000007|00000000000000000000000000000111|ffc55555|11111111110001010101010101010101|  NAND| 1010 |fffffffa|11111111111111111111111111111010|0    |
|1|00000007|00000000000000000000000000000111|fffffffa|11111111111111111111111111111010|  NAND| 1010 |fffffffa|11111111111111111111111111111010|0    |
|0|00000007|00000000000000000000000000000111|fffffffa|11111111111111111111111111111010|   NOR| 1011 |00000000|00000000000000000000000000000000|1    |
|1|00000007|00000000000000000000000000000111|00000000|00000000000000000000000000000000|   NOR| 1011 |00000000|00000000000000000000000000000000|1    |
|0|00000007|00000000000000000000000000000111|00000000|00000000000000000000000000000000|  XNOR| 1100 |fffffff8|11111111111111111111111111111000|0    |
|1|00000007|00000000000000000000000000000111|fffffff8|11111111111111111111111111111000|  XNOR| 1100 |fffffff8|11111111111111111111111111111000|0    |
|0|0000003f|00000000000000000000000000111111|fffffff8|11111111111111111111111111111000|   SHL| 1101 |0000007e|00000000000000000000000001111110|0    |
|1|0000003f|00000000000000000000000000111111|0000007e|00000000000000000000000001111110|   SHL| 1101 |0000007e|00000000000000000000000001111110|0    |
|0|0000003f|00000000000000000000000000111111|0000007e|00000000000000000000000001111110|   SHR| 1110 |0000001f|00000000000000000000000000011111|0    |
|1|0000003f|00000000000000000000000000111111|0000001f|00000000000000000000000000011111|   SHR| 1110 |0000001f|00000000000000000000000000011111|0    |
|0|00000000|00000000000000000000000000000000|0000001f|00000000000000000000000000011111| RESET| 1111 |00000000|00000000000000000000000000000000|0    |
|1|00000000|00000000000000000000000000000000|00000000|00000000000000000000000000000000| RESET| 1111 |00000000|00000000000000000000000000000000|0    |
[Done] exit with code=0 in 0.324 seconds
